an.onset	onset detector for arrays
an.onset~	onset detector
an.pitchtrack~	pitch tracker
helmholtz~	pitch tracker
array.bpm	BPM calculator
array.copy	copy samples from one array to another
array.do	iterate and modify array content via side-chain
array.each	process each array elements via side-chain
array.fill	fill array with single value or pattern
array.hist	calculates array histogram
array.mean	calculates array arithmetic mean value
array.minmax	find array min and max element value
array.plot~	plot signal on specified array
array.resample	array resampler
array.r	array resampler
array.rms	calculates root mean square value for array
array.set	set array content from list
list->array	set array content from list
array.stddev	calculates standard deviation for array values
array.stretch	array time-stretch, pitch-shift or rate-change
array.sum	calculates sum of array elements
array.sum2	calculates sum of squares of array elements
array.variance	calculates variance of array values
array.vplay	simple array player for using with vline~
array.window	fill array with window
plot.geomspace~	outputs numbers spaced evenly on a log scale (a geometric progression)
plot.hist~	calculate and output signal histogram
hist~	calculate and output signal histogram
plot.linspace~	outputs numbers spaced evenly spaced over a specified interval
plot.logspace~	outputs numbers spaced evenly on a log scale
plot.response~	output amp/phase freq response to impulse
function	named function
func	named function
function.call	call named function
func.call	call named function
gain~	multislot signal gain
matrix~	signal routing matrix
metro.pattern	metro with rhythmic patterns
metro.random	metro random bang with specified range
metro.seq	metro sequencer
mix~	multislot signal mixer
nsig~	Mulitchannel converter from control to audio rate
obj.props	property extractor
radio	float index to outlet values as radio switch
window	returns window value by given window position
win	returns window value by given window position
xdac~	dac~ with channel ranges
xfade2~	multi stereo-signal crossfade
xfade~	multi signal crossfade
chaos.gbman0	Gingerbreadman map chaotic generator
chaos.gbman0~	Gingerbreadman map chaotic generator
chaos.jong	Peter de Jong attractor
noise.jong	Peter de Jong attractor
chaos.logistic	Logistic map chaotic generator
noise.logistic	Logistic map chaotic generator
chaos.std0	Standard map chaotic generator
chaos.std0~	Standard map chaotic generator
array.p2s	convert array phase [0..1] to sample position
array.p->s	convert array phase [0..1] to sample position
array.phase->sample	convert array phase [0..1] to sample position
array.s2p	convert array sample position to relative phase position [0..1]
array.s->p	convert array sample position to relative phase position [0..1]
array.sample->phase	convert array sample position to relative phase position [0..1]
conv.amp2dbfs	convert from amplitude to decibel full scale
amp->dbfs	convert from amplitude to decibel full scale
conv.amp2dbfs~	convert from amplitude to decibel full scale
amp->dbfs~	convert from amplitude to decibel full scale
conv.bpm2hz	converts BPM to frequency in herz
bpm->hz	converts BPM to frequency in herz
conv.bpm2ms	convert frequency in BPM to period in milliseconds
bpm->ms	convert frequency in BPM to period in milliseconds
conv.bpm2sec	convert frequency in BPM to period in seconds
bpm->sec	convert frequency in BPM to period in seconds
conv.car2pol	convert cartesian coords to polar
car->pol	convert cartesian coords to polar
conv.cc2amp	convert from MIDI Control Change range
cc->amp	convert from MIDI Control Change range
conv.dbfs2amp	convert decibel full scale to amplitude
dbfs->amp	convert decibel full scale to amplitude
conv.lin2curve	map linear to exponential range with 0 allowed.
lin->curve	map linear to exponential range with 0 allowed.
conv.lin2exp	maps linear range to exponential range
lin->exp	maps linear range to exponential range
conv.lin2lin	convert from one linear range to another
lin->lin	convert from one linear range to another
l->l	convert from one linear range to another
conv.lin2lin~	convert from one linear range to another for signals
lin->lin~	convert from one linear range to another for signals
l->l~	convert from one linear range to another for signals
conv.list2props	converts list to series of property messages
list->props	converts list to series of property messages
any->props	converts list to series of property messages
conv.midi2freq	convert from midi pitch to frequency in hz (with various base A and temperament)
midi->freq	convert from midi pitch to frequency in hz (with various base A and temperament)
m->f	convert from midi pitch to frequency in hz (with various base A and temperament)
conv.ms2samp	convert time in milliseconds to number of samples according to current samplerate
ms->samp	convert time in milliseconds to number of samples according to current samplerate
conv.ms2samp~	convert time in milliseconds to number of samples according to current samplerate
ms->samp~	convert time in milliseconds to number of samples according to current samplerate
conv.phase2rad	convert phase value [0-1] to radians [0-2π]
phase->rad	convert phase value [0-1] to radians [0-2π]
conv.phase2rad~	convert phase value [0-1] to radians [0-2π]
phase->rad~	convert phase value [0-1] to radians [0-2π]
conv.pitch2midi	converts symbol pitch name to MIDI note number
pitch->midi	converts symbol pitch name to MIDI note number
conv.pol2car	convert from polar coordinates to cartesian
pol->car	convert from polar coordinates to cartesian
conv.rad2phase	convert radians value to phase
rad->phase	convert radians value to phase
conv.rad2phase~	convert radians value to phase
rad->phase~	convert radians value to phase
conv.samp2ms	convert samples to time according to samplerate
samp->ms	convert samples to time according to samplerate
conv.samp2ms~	convert samples to milliseconds according to samplerate
samp->ms~	convert samples to milliseconds according to samplerate
conv.samp2sec	convert samples to time according to samplerate
samp->sec	convert samples to time according to samplerate
conv.sec2samp	convert time in seconds to number of samples according to current samplerate
sec->samp	convert time in seconds to number of samples according to current samplerate
conv.sec2str	converts float time in seconds to formated symbol (or string)
sec->str	converts float time in seconds to formated symbol (or string)
conv.str2sec	converts formatted time to float value in seconds
str->sec	converts formatted time to float value in seconds
data.dict	dictionary container: store values by key
dict	dictionary container: store values by key
data.fifo	First-In-First-Out (FIFO) queue data container
data.float	robust float object
.float	robust float object
.f	robust float object
data.int	robust int object
.int	robust int object
.i	robust int object
data.list	list container
data.mlist	multidimensional list container
mlist	multidimensional list container
ml	multidimensional list container
data.set	container that store unique elements
data.set2list	converts set to list
set->list	converts set to list
dict.contains	predicate to check if dict contains a keys
dict.each	map each value in dict
dict.from_list	creates dictionary from list
list->dict	creates dictionary from list
dict.get	output dict values
dict.keys	get list of dict keys
dict.pass	passes specified keys in dict
dict.reject	rejects specified keys from dict
dict.size	dictionary size
dict.to_list	converts dictionary to plain list
dict->list	converts dictionary to plain list
dict.values	dictionary values as mlist
mlist.flatten	flatten nested mlist
set.contains	check if specified element is in set
set.diff	difference between two sets
set.equal	checks if two sets are equal (contains same elements)
set.intersect	output intersection of given sets
set.size	get number of elements in set
set.symdiff	symmetric difference between two sets
set.union	output union of given sets
dyn.comp2~	stereo dynamic range compressor
dyn.comp~	mono dynamic range compressors
dyn.gate2~	stereo signal gate
dyn.gate~	mono signal gate
dyn.limit2~	stereo 1176LN Peak Limiter
dyn.limit~	mono 1176LN Peak Limiter
dyn.softclip~	soft signal clip
env.adsr~	ADSR (Attack, Decay, Sustain, Release) envelope generator
env.ar~	Attack/Release envelope generator
env.asr~	Attack/Sustain/Release envelope generator
env.concat	Envelope concatenation
env.follow~	Envelope follower with independent attack and release times
env.mix	Mix between two envelopes. Envelopes should contain equal number of segments
env.smooth~	An envelope with an exponential attack and release
env.tscale	Envelope time-scale
env.tshift	Envelope time-shift (horizontal)
env.vscale	Envelope value-scale
env2array	Renders envelope to specified array
env->array	Renders envelope to specified array
env2vline	Converts envelope to bunch of vline messages
env->vline	Converts envelope to bunch of vline messages
envelope	Envelope data type
env	Envelope data type
vline2env	Converts vline messages to env
vline->env	Converts vline messages to env
expand_env	Substitute enviroment variables in data stream
flow.append	inject message into flow
flow.change	rejects redundant input values
flow.count	control flow event counter
flow.demultiplex	control flow demultiplexer
flow.demux	control flow demultiplexer
flow.demultiplex2~	audio stream stereo demultiplexer
flow.demux2~	audio stream stereo demultiplexer
demux2~	audio stream stereo demultiplexer
flow.demultiplex~	audio stream demultiplexer
flow.demux~	audio stream demultiplexer
demux~	audio stream demultiplexer
flow.gate	control flow gate. [spigot] analog
gate	control flow gate. [spigot] analog
flow.greater	numeric stream router
flow.>	numeric stream router
flow.group	group data atoms in list of specified size
group	group data atoms in list of specified size
flow.interval	measure time between flow events
flow.less	numeric stream router, like many [moses]
flow.<	numeric stream router, like many [moses]
flow.less_eq	numeric stream router, like many [moses]
flow.<=	numeric stream router, like many [moses]
flow.match	route data flow by regexp match
flow.multiplex	control flow multiplexer
flow.mux	control flow multiplexer
flow.multiplex2~	audio stream stereo multiplexer
flow.mux2~	audio stream stereo multiplexer
mux2~	audio stream stereo multiplexer
flow.multiplex~	audio stream multiplexer
flow.mux~	audio stream multiplexer
mux~	audio stream multiplexer
flow.once	one message pass thru
once	one message pass thru
flow.pack	flow pack
flow.pass	pass specified values
pass	pass specified values
flow.pass_if	pass values that accepted by predicate object
pass_if	pass values that accepted by predicate object
flow.reject	reject specified values
reject	reject specified values
flow.reject_if	reject values by predicate
reject_if	reject values by predicate
flow.route	advanced message router
flow.speedlim	control stream speed limiter
speedlim	control stream speed limiter
flow.split	split data flow by external side-chain predicate
split	split data flow by external side-chain predicate
flow.sync	bus with only hot inlets
flow.'	bus with only hot inlets
flow.sync_pack	flow pack with all hot inlets
flow.pack'	flow pack with all hot inlets
flow.tee~	separate audio and control streams
tee~	separate audio and control streams
~->	separate audio and control streams
replace	Replace atoms in data stream
flt.biquad~	second order IIR filter.
flt.bpf12~	Two pole band-pass butterworth filter
flt.bpf24~	Four pole band-pass butterworth filter
flt.c_bpf~	BPF coefficient calculator for biquad filter
flt.c_highshelf~	Highshelf filter coefficient calculator for biquad
flt.c_hpf~	HPF coefficient calculator for biquad filter
flt.c_lowshelf~	Lowshelf filter coefficient calculator for biquad
flt.c_lpf~	LPF coefficient calculator for biquad filter
flt.c_notch~	Band-reject coefficient calculator for biquad filter
flt.c_peak~	Peaking equalizer calculator for biquad
flt.dcblock2~	stereo DC blocker
flt.dcblock~	mono DC blocker
flt.eq10~	graphic 10 band equalizer
flt.eq_peak_cq~	constant-Q second order peaking equalizer section
flt.eq_peak~	second order "peaking equalizer" section (gain boost or cut near some frequency). Also called a "parametric equalizer" section.
flt.freqz~	compute the frequency response of a digital filter
flt.highshelf~	gain boost|cut above some frequency
flt.hpf12~	High-pass second order Butterworth filter
flt.hpf24~	High-pass fourth order Butterworth filter
flt.lowshelf~	gain boost|cut below some frequency
flt.lpf12~	Low-pass second order Butterworth filter
flt.lpf24~	Low-pass fourth order Butterworth filter
flt.median	Median control flow filter
flt.moog_vcf~	Moog Voltage Controlled Filter
flt.notch~	band-rejection filter
flt.resonbp~	Simple resonant bandpass filter
fx.bitdown~	bit downer and downsampler effect
fx.chorus~	Chorus effect
fx.distortion1~	distortion #1 from Guitarix effects set
fx.distortion2~	distortion #2 from Guitarix effects set
fx.distortion3~	simple distortion #3 from Guitarix effects set
fx.distortion~	cubic nonlinearity distortion
fx.drive~	Guitarix drive effect
fx.drone_box~	mono sympathetic resonance generator
fx.echo~	simple echo effect
fx.flanger~	mono flanging effect
fx.freeverb2~	freeverb2 - stereo version of freeverb
fx.freeverb~	freeverb - common used open-source reverb
fx.freqshift~	frequency shifter or single-sideband ring modulation
fx.granulator~	simple input stream granulator
fx.greyhole~	A complex echo-like effect
fx.looper~	One track looper
fx.pitchshift~	simple pitch shifter based on 2 delay lines
fx.sdelay~	smooth delay with a feedback control
fx.vocoder~	very simple vocoder where the spectrum of the modulation signal is analyzed using a 32-band filter bank
fx.wahwah~	digitized CryBaby wah pedal
fx.zita_rev1~	Zita stereo reverb
global.dict	global named dict object
global.json	global named dict object
global.float	global named float object
global.int	global named integer object
global.list	global named list object
global.mlist	global named mlist object
global.set	global named set object
hw.apple_smc	query the system management control in Apples
hw.apple_sms	query the sudden motion sensor in Apples
hw.arduino	Arduino device
hw.cpu_temp	get CPU temperature
hw.display	get/set display properties
hw.kbd_light	Get/set keyboard light on some devices
lfo.+pulse~	Unit-amplitude nonnegative low frequency pulse train
lfo.+saw~	Positive unit-amplitude low frequency saw wave
lfo.+square~	Positive low frequency square wave
lfo.+tri~	Positive unit-amplitude low frequency triangle wave
lfo.impulse~	Unit-amplitude low-frequency impulse train
lfo.pulse~	Full-range unit-amplitude low frequency pulse train
lfo.saw~	Full-range unit-amplitude low frequency saw
lfo.square~	Zero-mean unit-amplitude low frequency square wave
lfo.tri~	Zero-mean unit-amplitude low frequency triangle wave
list.^at	on input index(es) outputs list element(s)
list.^contains	on input atom or list checks if specified list contains it
list.^search	on input atom returns it index in list
list.all_of	checks if all list atoms accepted by predicate
list.any_of	checks if at least one list element is accepted by predicate
list.append	append atom or list to the end of input list
list.apply_to	modifies list value at specified position, filtering it via external object.
list.at	on input list outputs element(s) at specified index(es)
list.choice	returns random element from list
list.contains	checks if input list contains specified atoms
list.count	returns the number of items that equal to specified value
list.count_if	returns the number of items that satisfy to external predicate.
list.delta	returns the difference between the current list of floats and the previous one.
list.distribution	list value distribution
list.do	iterate and modify list contents via side-chain
list.each	maps each list value via external object(s)
list.enumerate	enumerates input list
list.equal	checks if given lists are equal
list.first	returns first list element
list.gen	generates list of specified length via external generator
list.histogram	outputs distribution histogram
list.insert	insert atom or list to the specified position of input list
list.integrator	returns the sum of the previously stored list and the current one then stores this sum
list.last	returns last list element
list.length	returns the number of atoms in the list
list.size	returns the number of atoms in the list
list.max	returns largest element in the list
list.mean	calculates average of list of floats
list.average	calculates average of list of floats
list.min	returns smallest element in the list
list.none_of	checks if none of list atoms is accepted by predicate
list.normalize	normalizes float list values to get their sum = 1.0
list.pass_if	leave only elements accepted by predicate
list.filter	leave only elements accepted by predicate
list.prepend	prepend atom or list before input list
list.product	calculates product of floats in list
list.range	returns list smallest and largest value
list.minmax	returns list smallest and largest value
list.reduce	apply function of two arguments cumulatively to the list
list.foldl	apply function of two arguments cumulatively to the list
list.remove	on input list remove element(s) at specified positions
list.remove_if	remove elements by predicate
list.repack	repack input list to specified size
list.repeat	creates new list by repeating given list specified times
list.resample	resample list with specified ratio
list.r	resample list with specified ratio
list.resize	changes list size
list.reverse	reverses the order of the elements in the list
list.rldecode	Run-length list decoder (RLE)
list.unwrap	Run-length list decoder (RLE)
list.rlencode	RLE (run-length encoding) for lists
list.wrap	RLE (run-length encoding) for lists
list.rotate	rotates list
list.<<	rotates list
list.>>	rotates list
list.route	acts like [route] but for lists
list.search	search specified items in input list
list.separate	sends list elements one by one separately
list.sep	sends list elements one by one separately
list.seq	numeric sequence list generator
list.set	on input list set value at specified position
list.shift	shifts the contents of the list with linear interpolation
list.shuffle	randomly rearranges elements in list
list.slice	extract sublist
list.sort	sorts list values by ascending order
list.sort_with	sort list with user defined side-chain
list.split	splits list into two parts, the length of first list is specified by the argument.
list.stretch	stretches list - changes its size with linear interpolation
list.sum	calculates sum of floats in list
list.unique	removes duplicates from input list
list.unpack	unpack list elements to separate outlets
list.unzip	splits list to N lists, each to separate output
list.deinterleave	splits list to N lists, each to separate output
list.walk	Walks thru the list
list.zip	takes n lists from n inlets (specified by argument) and output their elements sequentially (list1-1 list2-1 list1-2 list2-2 etc.).
list.interleave	takes n lists from n inlets (specified by argument) and output their elements sequentially (list1-1 list2-1 list1-2 list2-2 etc.).
live.capture~	record up to 32s of sound and playback the recorded sound in loop
local.dict	local named dict object
local.json	local named dict object
local.float	canvas-scoped named float variable
local.int	canvas-scoped named integer variable
local.list	local named list object
local.mlist	local named mlist object
local.set	local named set object
math.abs	absolute value function
math.abs~	absolute value function for signals
math.acos	arc cosine function
math.acosh	inverse hyperbolic cosine function
math.acosh~	hyperbolic arc cosine for signals
math.acos~	arc cosine function for signals
math.and	operation AND for multiple arguments
and	operation AND for multiple arguments
math.approx	check if input value approximately equal to pattern
approx	check if input value approximately equal to pattern
math.asin	arc sine function
math.asinh	inverse hyperbolic sine function
math.asinh~	hyperbolic arc sine for signals
math.asin~	arc sine for signals
math.atan	arc tangent function
